imo,name,dwt
9304825,SEAMASTER IV,109266
9304813,XIN CHANG SHU,69229
9304760,CHIQUITA TRADER,34393
9304758,CHIQUITA EXPRESS,35465
9304746,ANTWERP TRADER,34444
9304734,0215 CINDY,34884
9304631,VENEZIA,7499
9304605,MINERVA SYMPHONY,159450
9306172,MAERSK PUELO,81250
9304588,TORM RESILIENCE,49999
9304461,GALA,12578
9304459,MSC LISBON,110697
9304447,MSC ROMA,110633
9304435,MSC JOANNA,117333
9304423,MSC MARIA ELENA,117205
9304411,MSC ESTHI,117310
9304318,VERONICA DP,8807
9304306,ORCHID AMERICAS,19707
9305178,PATRONA I,16716
9305180,PATALYA,16664
9305269,SHARDEN,7031
9305300,MAERSK UTAH,61454
9306067,CALISTO,20614
9306029,SANDNES,27711
9306017,HELGAFELL,11143
9306005,ARNARFELL,11143
9305934,X-PRESS MONTE ROSA,8691
9305908,VENTO DI SCIROCCO,22049
9305893,MARGUERITE A,22033
9305867,MINERVA RITA,50922
9305855,MINERVA GRACE,50989
9305843,COTE DES FLANDRES,7178
9305702,MSC MADELEINE,114908
9305623,PROPONTIS,117055
9305611,PROMITHEAS,117055
9305594,YANTIAN,113939
9305568,SCF BALTICA,117153
9305556,STENA ARCTICA,117099
9305477,MSC TIANSHAN,101532
9305336,TANAIS,7078
9305312,MAERSK MONTANA,61499
9304277,OMICRON TITINA,76806
9304241,GOOD HOPE MAX,76739
9304215,ARROW LADY,76752
9303211,GRAND VENUS,18318
9303182,GRAND COSMO,18288
9303170,GRAND DUKE,18315
9303041,THOR MAGNHILD,56023
9302994,SELENA,150296
9302982,STATIA,150205
9302970,SEALOYALTY,106468
9302956,COSMOS,34457
9302944,MARGARETE SCHULTE,34457
9302918,TEAM SAMBA,31700
9302841,SWAN RIVER,56025
9302786,MIM VANGELIS JR,76619
9302774,OMICRON LIGHT,76602
9302750,BRAVERY,76606
9302683,GEORGIA,40327
9302621,NAVIOS UTMOST,101597
9302619,NAVIOS UNITE,101411
9302607,ALASKA,163250
9302592,ARCHANGEL,163216
9302578,SC MARA,68165
9303194,GRAND ORION,18312
9303223,GRAND DIAMOND,18058
9304203,OMICRON CREST,76737
9303302,TAIGA DESGAGNES,17286
9304198,MALAKAND,76830
9304174,CENTURION,76838
9304148,AZALEA ISLAND,106445
9304112,CORAL ISLAND,55699
9304100,MANNA,55697
9304083,CLARA,77073
9304057,NORWEGIAN JADE,7500
9303807,STANLEY A,39266
9303780,IRENES RAINBOW,39382
9303778,CELSIUS LONDON,44022
9303754,AVNI,44053
9303730,VS LEIA,38461
9303728,CHRYSOPIGI,38554
9303649,CHEMROAD HAYA,33916
9303560,GOLAR GRAND,84894
9303558,HOEGH CHIBA,19670
9303429,MANTA HACER,32316
9303364,AFRICAN SWAN,32776
9303314,SJARD,17305
9306079,ADELINA D,20580
9306196,PALENA,81247
9302499,MARAN GAS ASCLEPIUS,84659
9308584,MSC NINA F,11798
9308857,CARMEL,104955
9308833,LOVINA,105047
9308821,ZUMA,105188
9308807,CSAV RIO GRANDE,12315
9308792,LAKE KIVU,12322
9308625,MSC LUNA F,11827
9308613,CONTSHIP FUN,11836
9308601,MSC TALIA F,11815
9308596,CONTSHIP ANA,11807
9308558,EXCELLO,19999
9306201,ANNABA,20614
9308546,EVINCO,19999
9308510,COSCO HELLAS,107482
9308443,JAG LYALL,110531
9308431,UMM BAB,84659
9308390,AS CONSTANTINA,37883
9308247,ICARIUS,55921
9308132,BEKS EBRU,50322
9308118,PRIONAS,53308
9308106,EVANTHIA,53284
9308883,CEPHEUS LEADER,21402
9308900,PACIFIC,8129
9308948,SRI ASIH,109637
9308998,CHEMTRANS POLARIS,72291
9310202,NURI SONAY,14889
9310109,LIBERTY,19628
9309980,LUZERN,38431
9309978,VS LISBETH,38492
9309655,JALMA TOPIC,51966
9309629,CELSIUS MONACO,19999
9309588,NS STELLA,47197
9309526,CATALONIA,35200
9309502,CHEMROAD WING,32051
9309485,CYMONA STAR,87036
9309473,MSC HEIDI,114106
9309461,MSC TOMOKO,114125
9309459,MSC SILVANA,114175
9309447,MSC RANIA,114108
9309435,MINERVA ALICE,114850
9309423,MINERVA NOUNOU,114850
9309409,AS CARELIA,39374
9309277,MONA LISA,42102
9309239,BIT VIKING,24783
9308091,CONSTELLATION,73917
9308089,CONQUEST,73917
9308065,STORVIKEN,152013
9306718,NEPTUNE THELISIS,7210
9306677,SLOMAN THEMIS,34628
9306653,SLOMAN THETIS,34662
9306641,OLYMPIC VISION,34663
9306639,SEMBARANI,109672
9306445,ADASUN,8259
9306433,SPANACO PROGRESS,7601
9306421,ADALADY,8259
9306419,NORMA,7560
9306392,EYUP,7601
9306380,IRENA,8153
9306328,IBRAHIM KONAN,8107
9306316,MANISA SILVANA,7599
9306299,SUAVE,8270
9306251,MAUREN,13839
9306249,CONTSHIP MED,13872
9306237,CONTSHIP RUN,20955
9306225,AVA D,20646
9306213,CONTSHIP SEA,20993
9306706,NEPTUNE OKEANIS,7210
9306782,NS CENTURY,109989
9308027,NAVIOS SPRING,42806
9306794,NS COMMANDER,109987
9308003,NAVIOS SUMMER,42822
9307944,AMBER,73981
9307827,MINERVA VIRGO,50921
9307815,ATLANTICA BRIDGE,50921
9307798,TORM VENTURE,73701
9307671,STEN BALTIC,16613
9307358,TIMCA,18250
9307346,LARVIK,61213
9307279,SCORPIUS,34495
9307243,LE HAVRE,111790
9307231,XIN SHANGHAI,111737
9307229,PUSAN C,111737
9307217,XIN LOS ANGELES,111889
9307205,METHANE LYDON VOLNEY,78957
9307176,AL DEEBEL,78594
9307102,LR1 CARRIER,73675
9306940,RALEIGH FISHER,35192
9306835,ASTRID L,13760
9306823,VEGA VELA,13879
9302566,S SANTIAGO,68126
9302449,MAERSK DAKAR,33781
9310355,OLYMPUS,9189
9298325,HAMBURG STAR,73869
9298533,THOR INSUVI,52489
9298507,MINERVA ANNA,50939
9298492,NORTHERN OCEAN,50922
9298416,CLYDE FISHER,12984
9298399,AL THAKHIRA,78542
9298387,ROSY,20610
9298375,CAROLUS MAGNUS,20635
9298363,EMANUELE S,20718
9298351,MIRELLA S,20677
9298301,CHEMTRANS BALTIC,73897
9299458,MAERSK BARRY,29040
9298272,CHEMTRANS OCEANIC,73901
9298193,SEASHARK,32302
9298181,SEYCHELLES PROGRESS,37558
9297931,HARVEST,73691
9297929,CALIPSO,73691
9297905,JAG LALIT,158344
9297890,SEACROSS,163292
9297876,MSC BHAVYA,66799
9297864,MSC ANYA,66821
9298545,BULK TRIDENT,52514
9298595,FILICUDI M.,21600
9298612,NCL HAUGESUND,8329
9298636,INDEPENDENT PRIMERO,41647
9299434,MAERSK BRISTOL,29050
9299422,MAERSK BERING,29057
9299393,MOBY AKI,5628
9299355,AQUANUS,109672
9299343,KAPTEN CAROQ,109672
9299288,SPAR TAURUS,53195
9299214,OTTOMANA,27300
9299159,STENA PERFORMANCE,65065
9299111,ELKA APOLLON,101970
9299056,BENCHIJIGUA EXPRESS,1000
9299032,MAERSK DOUALA,33783
9298997,WAN HAI 625,67270
9298765,NAUTILUS,163927
9298753,BOUBOULINA,163759
9298741,MELTEMI,163759
9298727,NEW ENGLAND,37515
9298698,MAERSK OHIO,61454
9298686,MAERSK IOWA,61454
9298650,AMALTHEA,107115
9297618,BF CARODA,11202
9297606,VISITOR,11181
9297591,BIANCA RAMBOW,11286
9296200,STAR PRINCESS,180202
9296119,ROLLS I,40952
9295971,CMA CGM AMERICA,52683
9295969,CMA CGM SAMBHAR,52683
9295957,CHACABUCO,68228
9295842,HOEGH BERLIN,27176
9295830,HOEGH NEW YORK,21099
9295581,HASSI MESSAOUD 2,44379
9295531,PEYTON LYNN C,12193
9295529,AVILA,12343
9295517,AS FRANZISKA,17350
9295505,MIZAR,17350
9295452,TRANS EMERALD,8650
9295440,WILHELMINE ESSBERGER,8657
9295438,LISA ESSBERGER,8643
9295426,ANNELIESE ESSBERGER,8648
9295414,SC MONTREUX,52863
9295397,MSC CAROLINA,72037
9295385,MSC MARTA,72044
9295373,SANTA VIOLA,72064
9296195,PAROS,107197
9296248,OCEAN LION,75656
9297589,ALANA,13711
9296250,YASA TEAM,75621
9297577,KARLA A,17264
9297553,MONTEGO,108402
9297541,BONITA,108386
9297412,GULF HORIZON,74999
9297345,ALBA,113782
9297333,MINERVA CLARA,103232
9297321,MINERVA ELLIE,103194
9296872,MTM LONDON,20587
9296822,ANGELICA SCHULTE,106433
9296793,APOLO,77326
9296731,STOLT COURAGE,32858
9296626,PEDHOULAS TRADER,82214
9296597,ODORI,45897
9296418,RIDGEBURY LINDY B,146356
9296391,RIDGEBURY MARY SELENA,146427
9296389,MONTREAL SPIRIT,149997
9296377,TOKYO SPIRIT,149996
9296327,PUNKT,28671
9296315,LORD NELSON,28653
9299446,MAERSK BELFAST,29032
9299460,PACIFIC ROSE,27638
9302437,HSL PORTSMOUTH,33847
9301445,BOMAR CALAIS,34263
9301744,ICE VICTORY,70372
9301732,ICE ENERGY,70377
9301603,SEELAND,7064
9301598,FINNLAND,7099
9301562,GEESKE,13727
9301536,SKS SKEENA,158933
9301483,MSC PARIS,102761
9301471,MSC VALENCIA,102756
9301457,0090 HSL NIKE,34243
9301433,CMA CGM MALTA,34289
9299484,MARTHA A,33796
9301328,MSC DORINE,68483
9301299,HISTRIA CORAL,40426
9301287,HISTRIA PERLA,40471
9301201,MASTERY D,10744
9301196,RIVA WIND,53533
9301184,FRATZIS  STAR,53533
9301146,EVROPI,53702
9301134,LANGENESS,17002
9301122,HOOGE,16986
9301794,SEASPAN JAKARTA,50869
9301809,SEASPAN SAIGON,50869
9301811,SEASPAN LAHORE,50869
9301823,RIO GRANDE EXPRESS,50869
9302255,SPIRIT,9654
9302243,SVEN-D,9604
9302205,TORONTO,21965
9302176,ONE HENRY HUDSON,98849
9302152,ONE HARBOUR,98849
9302140,ONE HUMBER,98849
9302138,ONE HANNOVER,99214
9302126,TORM TEVERE,36990
9302085,MSC ANAHITA,71270
9302009,LS CHRISTINE,8400
9301990,ALDEBARAN,37274
9301952,SEAWAYS VISAYAS,74933
9301938,HANNAH SCHULTE,34704
9301926,LUCIE SCHULTE,34396
9301914,TORM LOKE,51371
9301897,MARVEA,40161
9301885,MARIA M,40057
9301873,FURE WEST,17557
9301847,SEASPAN RIO DE JANEIRO,50500
9301108,MOTIVATION D,10700
9301043,THE UNITY,82790
9301029,AMBROSIA,105363
9299800,CMA CGM MEDEA,113964
9299783,CMA CGM TOSCA,101818
9299757,KHAWR ALADID,106061
9299733,ANTAIOS,106005
9299719,NS CHAMPION,110043
9299707,NS CONCEPT,109857
9299692,NS CONCORD,109919
9299680,NS CHALLENGER,109841
9299678,EURONIKE,164565
9299666,EUROCHAMPION 2004,164608
9299642,CMA CGM FIDELIO,113964
9299630,CMA CGM NABUCCO,101810
9299628,CMA CGM OTELLO,101818
9299563,PGC MARINA,72807
9299551,MSC VITTORIA,105101
9299549,MSC JUDITH,105082
9299537,MSC CHARLESTON,105014
9299525,MSC TORONTO,105084
9299501,ENERGIZER,9500
9299496,PHOENIX AN,38512
9299795,CMA CGM LA TRAVIATA,101779
9299812,CMA CGM NORMA,113909
9300972,AS CLARITA,38608
9299862,BALTIC ADVANCE,37332
9300908,IBI,19949
9300881,IKI,19950
9300855,ASSIMINA II,30541
9300843,OSPREY S,30570
9300829,TERNHOLM,14825
9300805,OOCL EUROPE,105545
9300790,OOCL ASIA,105530
9300764,UBC TORONTO,37832
9300659,GABRIEL A,17264
9300623,GM LEGEND,52223
9300520,YASA PEMBE,55912
9300477,EVER SALUTE,78733
9300441,EVER STRONG,78715
9300295,DESERT UNITY,54043
9300221,THOR MERCURY,55862
9300219,BLUE ALEXANDRA,32545
9300192,SARONIC SPIRE,32355
9300178,HAINAN ISLAND,32573
9299874,NCC NAJD,45998
9310276,PANASIATIC,82962
9310408,DESPINA D,76633
9245677,MAREN,13698
9320336,ATHOS,30618
9320506,MORGENSTOND I,12008
9320453,MSC ROSARIA,63427
9320441,MSC CAROUGE,79403
9320439,MSC LEIGH,63410
9320427,MSC GENEVA,79403
9320403,MSC LORENA,59587
9320398,MSC LAUSANNE,79403
9320386,SIMAISMA,84863
9320374,GOLAR MARIA,84823
9320257,GEORG MAERSK,115700
9321550,EUGEN MAERSK,174239
9320245,GERD MAERSK,115700
9320130,SEVEN SISTERS,3608
9320128,COTE D'ALBATRE,3608
9320099,MSC ORCHESTRA,10000
9320087,MSC MUSICA,10000
9320075,LNG ALLIANCE,86389
9320063,ASTINA,11283
9320049,STADT DRESDEN,37937
9320001,SEASPAN LOGA,33812
9320518,FWN SPLENDIDE,10585
9320520,FWN RAPIDE,10609
9320568,FICARIA SEAWAYS,15990
9320697,OSAKA EXPRESS,103681
9321536,ELLY MAERSK,174239
9321524,EBBA MAERSK,174239
9321512,EVELYN MAERSK,174239
9321500,ELEONORA MAERSK,174239
9321495,ESTELLE MAERSK,174239
9321483,EMMA MAERSK,174239
9321471,GISELE A,38133
9321445,BICE AMORETTI,8102
9321433,MARY A,8084
9321419,GINOSTRA M,8057
9321172,VELOS RUBY,74998
9321160,KITION M,74995
9321108,FWN BONAFIDE,10567
9321093,FWN SOLIDE,10574
9321005,DESERT RHAPSODY,53820
9320996,DESERT SYMPHONY,53820
9320855,RHOURD EL ADRA,19392
9320714,RIDGEBURY CAPTAIN DROGIN,166468
9320702,TSINGTAO EXPRESS,103631
9319882,HOUSTON STAR,116093
9319870,NORDBAY,116104
9319868,JSP CARLA,9193
9318527,GRANDE COLONIA,12292
9318486,CORAL LEADER,12164
9318474,HOEGH BANGKOK,16632
9318462,VIKING QUEEN,16890
9318369,THE LIVING,74405
9318345,DOVER SEAWAYS,6874
9318321,ANTWERPEN,26361
9318228,SCORPIUS,11249
9318187,GENOVA,50532
9318175,X-PRESS KILIMANJARO,50689
9318163,ZIM QINGDAO,50689
9318149,ORPHEAS,167282
9318137,EVRIDIKI,167294
9318113,ORCA I,65890
9318096,SEAVOYAGER,159233
9318084,LIBYA,159233
9318072,LOS ANGELES SPIRIT,159233
9318058,MSC TEXAS,100680
9318046,MSC TOKYO,100680
9318034,ARCTIC BAY,50844
9318498,OPAL LEADER,12300
9318539,DONAT,166188
9319765,TORTUGAS,22271
9318541,NS STREAM,46941
9319753,TOMBARRA,19628
9319698,TORM MARINA,109672
9319686,TIMBERWOLF,109647
9319674,MAERSK PENGUIN,109647
9319600,MSC AMANDA F,11842
9319571,MITO,13760
9319480,BOW ARCHITECT,30058
9319466,FINNMAID,9653
9319454,EUROPALINK,9653
9319442,FINNSTAR,9653
9319404,TRINITY ARROW,79556
9319105,YM INVENTIVE,22027
9319064,KALLIO,21353
9318955,GRINNA,6419
9318943,THUNDER BIRD,7920
9318761,ADILIA I,11050
9318606,THE WISE,73593
9318565,STEN AURORA,16596
9318553,NS SPIRIT,46941
9321548,EDITH MAERSK,174239
9321562,GOLDEN SHINER,74999
9318008,MINERVA VASO,50921
9323584,BRO NAKSKOV,16427
9323962,ALIAKMON,61284
9323912,SOPHIA,86949
9323900,ELEOUSSA,56678
9323883,PORTAITISSA,87144
9323819,BRO NUUK,16631
9323699,STENA VINGA,3365
9323687,CLEAN ENERGY,85513
9323649,MAYUREE NAREE,30193
9323637,HORIZON,30193
9323560,LEON HERMES,40165
9321615,TELLUS,9181
9323558,KANG HONG,55589
9323493,X-PRESS IRAZU,23716
9323481,HANSA LIMBURG,23447
9323479,SAMSKIP EXPRESS,9313
9323467,JSP ROVER,9342
9323405,AINAZI,52606
9323390,SALACGRIVA,52620
9323388,UZAVA,52650
9323376,PILTENE,52648
9323986,BEKS INDIANA,105547
9324148,DALIAN STAR D,56010
9324150,FERONIA,56058
9324162,CAPE FLORES,16393
9325049,SONANGOL NAMIBE,158425
9325025,MONTECRISTO,180093
9325013,NAVIOS FANTASTIKS,180055
9324954,WILHELMINE,13760
9324875,NAVIOS INDIGO,50607
9324837,NAVIOS VERMILION,50629
9324801,ANGORA 1,6970
9324746,SCF TOBOLSK,26424
9324617,COURAGEOUS,52346
9324473,PAULINE,17023
9324435,AL JASSASIYA,84554
9324344,CHEIKH BOUAMAMA,39520
9324332,CHEIKH EL MOKRANI,39520
9324318,BW LENA,76578
9324306,BW HUDSON,76574
9324291,BW COLUMBIA,76604
9324289,KRITI STATE,76565
9324277,NEO ENERGY,85602
9324215,CHEM VENUS,19888
9323364,USMA,52684
9323352,UGALE,52642
9323340,TARGALE,52660
9322437,DARDANELLES SEAWAYS,11636
9322396,PIGEON POINT,48356
9322346,ZIM YOKOHAMA,50532
9322334,ZIM VANCOUVER,50532
9322322,ZIM SHEKOU,50629
9322279,DALMA,306543
9322152,TRIPLE A,13040
9321938,STAR EAGLE,51202
9321926,NAVIOS PROSPERITY I,75527
9321873,GINGA JAGUAR,26151
9321861,GINGA COUGAR,26180
9321847,ARIES SUN,115567
9321770,METHANE NILE EAGLE,79006
9321744,METHANE HEATHER SALLY,79084
9321732,MILAHA QATAR,77803
9321720,CAP VICTOR,158880
9321718,CAP PHILIPPE,158920
9321706,CAP CHARLES,158880
9321689,SOLVIKEN,114523
9321677,KRONVIKEN,114523
9322425,ASPENDOS SEAWAYS,11636
9322475,ITAL LIBERA,67986
9323326,JURKALNE,52620
9322504,IRENES RAY,44132
9323314,ANCE,52622
9323120,SEAVEN GLORY,10202
9323077,LAVRAKI,20811
9322956,NS PRIDE,40119
9322944,METEORA,40045
9322853,PAFILIA,8546
9322815,LNG OGUN,81997
9322803,LNG BORNO,82030
9322762,TR CROWN,53474
9322748,MED ISLAND,28556
9322712,BRO NORDBY,16511
9322700,BRO NIBE,16534
9322695,BRO NYBORG,16564
9322657,YUYO,49772
9322578,DREAM,9340
9322566,JSP RIDER,9340
9322554,SOLONG,9322
9322542,RANGER,9288
9322516,NORO,44164
9318022,NORTHERN LIGHT,50922
9317975,CMA CGM WHITE SHARK,65930
9310525,KYTHIRA WARRIOR,115338
9312810,NYK VIRGO,103284
9312913,SEAWAYS CHANIA,36713
9312901,WONDER MIMOSA,37620
9312896,NS CREATION,109819
9312884,NS COLUMBUS,109919
9312872,ALMI SPIRIT,105571
9312860,LIMERICK SPIRIT,105583
9312858,GALWAY SPIRIT,105999
9312834,MORNING CHORUS,21276
9312822,MORNING CONCERT,21279
9312808,NYK VESTA,103260
9314105,SONGA CORAL,107081
9312793,NYK VENUS,103207
9312781,NYK VEGA,103310
9312640,ELBELLA,23410
9312482,HOEGH SHANGHAI,27178
9312470,HOEGH DETROIT,27100
9312444,STENA PRESIDENT,65112
9312418,AS PAOLA,33868
9312406,ALICE N,8907
9312341,AMALIYA,28436
9312925,SEAWAYS CANAVERAL,37582
9312975,NYK OCEANUS,104525
9312987,ONE OLYMPUS,104525
9312999,NYK ORION,104525
9313967,SEAGO BREMERHAVEN,53890
9313955,SEAGO PIRAEUS,53807
9313943,SEAGO ISTANBUL,53701
9313917,MAERSK BALTIMORE,53700
9313905,MAERSK BOSTON,53701
9313527,GIJON KNUTSEN,35692
9313503,FASSA,55447
9313450,ANWAAR AL NASER,29006
9313436,PEONIA,28987
9313424,ANWAAR AL KHALIJ,29006
9313400,NEW ELIAS,174222
9313242,GOOFY,38122
9313228,BALTIC SHEARWATER,15955
9313216,BALTIC PETREL,15933
9313204,BALTIC FULMAR,15952
9313199,BALTIC TERN,15952
9313113,RAVENCLAW,14907
9313022,STAR OMICRON,53489
9313008,ONE ORPHEUS,104525
9312212,ENSEMBLE,9146
9312200,ENDURANCE,9146
9312195,ENDEAVOR,9167
9311529,SSI NEMESIS,56023
9311464,THE MOTHERSHIP,177544
9311452,ANDROS GLORY,176882
9311402,PORT ALICE,31871
9311256,MONAX,20762
9311220,IONIC KATANA,82936
9311206,CUMA,83007
9311165,NIKOLAS XL,82595
9311153,NILOS,75880
9311050,S-BRONCO,33532
9311048,RIDGEBURY ACACIA,53688
9311012,STOLT GLORY,33929
9311000,ROSE M,45838
9310850,REGINA,74994
9310769,HTK FORTUNE,32555
9310757,POLARSTAR,32588
9310707,CHALLENGE PASSAGE,48658
9310642,LAUSANNE,83002
9310628,SUMMIT SUCCESS,82922
9310537,THE GIVER,75726
9311490,ISABELLA M,56056
9311567,LNG KANO,83961
9312169,MELISSA,12791
9311579,LNG ONDO,83688
9312145,SOUNION,163759
9312133,EXPLORER,163759
9312092,GRANDE SICILIA,12353
9312080,PATAGONIA,16772
9312078,PATRICIA,16642
9311892,HUNTER 1,6970
9311880,LETO,42200
9311878,MARY ARCTICA,8624
9311866,TAIPAN,21021
9311854,TALIA,21021
9311842,GARFIELD,33757
9311787,AS CLEOPATRA,37882
9311751,MAERSK ARCTIC,36993
9311725,FSL SINGAPORE,47470
9311701,MAERSK KANSAS,61447
9311646,LUTSEN,12910
9311634,SAWTOOTH,12956
9311622,VLADIMIR TIKHONOV,162397
9311581,LNG IMO,83688
9314064,DEYI EXCELLENCE,180310
9314167,LA BOHEME,73672
9317951,MINERVA LIBRA,116779
9316610,BIXBITE,39999
9317145,S-BREEZE,52454
9317107,OCEAN CROWN,52347
9317092,BULK FREEDOM,52454
9316995,STELLAR PACIFIC,16730
9316933,SUPER ARSENAL,29858
9316907,BOYANG GARNET,75674
9316880,KAVO PALOMA,75698
9316866,NAVIOS SAGITTARIUS,75756
9316816,KAPETAN SIDERIS,55862
9316608,AMBER BEE,40083
9314179,LORELEI,73673
9316311,SEINE HIGHWAY,8100
9316309,DANUBE HIGHWAY,7788
9316294,THAMES HIGHWAY,7750
9316282,ELBE HIGHWAY,7750
9316232,CHEMTRANS NOVA,73870
9316220,MILA,55317
9316139,PATRIOT,22564
9316127,ALEKSEY KOSYGIN,163545
9316103,SONATA,13715
9317248,CABO NEGRO II,47236
9317315,IBRI LNG,77282
9317341,THOR FEARLESS,54881
9317365,PHOENIX K,54881
9317949,SEAMAGIC,116995
9317925,CITY OF ALEXANDRIA,66583
9317860,BOW ENGINEER,30087
9317858,MTM WESTPORT,32044
9317846,CHEMROAD ROSE,32046
9317834,XENIA,87144
9317808,SVEALAND,7763
9317781,BOBIC,31896
9317779,DOBROTA,33588
9317755,LORD WELLINGTON,31921
9317705,SIROCO,37534
9317690,PROPEL PROSPERITY,37504
9317559,LOWLANDS OPAL,55381
9317494,NAVIOS ULYSSES,55728
9317468,AGRI QUEEN,77171
9317420,HAYAMA STAR,52900
9317418,SAGA DISCOVERY,46618
9317406,SAGA ADVENTURE,46627
9317377,SUZAKU,54881
9316098,HAMBURG TRADER,13710
9316050,LASKARO S,76741
9316048,ARIANA,76631
9315068,STAR OSPREY,51213
9315020,AKACIA,13713
9314947,AS CAMELLIA,39418
9314911,MTM RIO GRANDE,46616
9314894,ARION,39378
9314882,AMPHITRITE,39378
9314870,KRITI ADMIRAL,37266
9314868,SAN FELIX,37312
9314856,SAN SEBASTIAN,37258
9314844,SAN CARLOS,37258
9314832,ADVANTAGE PRETTY,37289
9314820,BALTIC MARINER I,37304
9314818,BALTIC MONARCH,37273
9314806,ADVANTAGE PRIDE,37311
9314777,AMALIE ESSBERGER,8571
9314753,TRANS EXETER,9456
9314715,TRANS CHEMICA,12430
9314442,CHELSEA-2,5457
9314210,SAFMARINE MAFADI,61433
9314181,BROOK TROUT,73672
9315032,X-PRESS SHANNON,11424
9315173,ARCTIC,163216
9315941,SEAWAYS HURON,47781
9315185,ANTARCTIC,163216
9315850,IRENES REMEDY,39382
9315824,ODYSSEUS,39420
9315812,AS CYPRIA,39425
9315800,AEGEAS,39378
9315795,ANDROMEDA,39378
9315783,SEAVICTORY,46702
9315771,SEAVALOUR,46702
9315757,HACI KEMAL KA,37627
9315745,SEAWAYS CAPE HORN,37662
9315654,SONANGOL KASSANJE,158706
9315549,LAKE ST. CLAIR,27781
9315537,OCEAN CASTLE,27779
9315381,AGAMEMNON,103772
9315240,MAERSK SENANG,87608
9315238,0183 MAERSK SEBAROK,87534
9315226,MAERSK SEMBAWANG,87606
9315214,0181 MAERSK SERANGOON,87624
9315202,MAERSK SENTOSA,87618
9315197,MAERSK SELETAR,87545
9295361,SANTA VANESSA,71949
9295347,ADVANTAGE PARK,37343
9295335,BASSILEVOUSA,39698
9265689,BITU EXPRESS,45974
9266310,BBC ASIA,7541
9266308,BBC EUROPE,7409
9266267,STOLT BETULA,25024
9266243,STOLT KASHI,25148
9266231,STOLT KIRI,19508
9266188,SEA LADY,50246
9266140,FIRST BROTHER,32385
9265885,JOHNNY TRADER,46195
9265861,JOHNNY TRAVELLER,46248
9265598,MED TEKIRDAG,13760
9267699,PROMINENT ACE,19550
9265586,CMA CGM AGADIR,13858
9265421,EL DJAZAIR II,3520
9265419,TASSILI II,3520
9265366,ANDES,68439
9264740,ATLANTIS,8015
9264714,RUMBA,8015
9264465,MTM FAIRFIELD,20585
9264283,CAPE BACTON,40293
9264271,CAPE BRADLEY,40345
9266449,STAR THETA,52425
9266542,BF LETICIA,11170
9266554,ANNETTE,9417
9266566,MARIA,9422
9267675,MARTORELL,19531
9267663,GRAND EAGLE,19048
9267637,MSC PEGASUS,80270
9267560,SUULA,14665
9267558,KIISLA,14750
9267390,LOBO MARINHO,1590
9267285,UNISPACE,10621
9267209,FEDERAL SETO,36489
9267170,NIKOLAOS GS,28616
9267027,BULL KANGEAN,38877
9267015,LNG BENUE,82971
9267003,LNG OYO,83068
9266994,LNG ENUGU,83160
9266982,LNG RIVER ORASHI,83068
9266918,MOUNT BAKER,32039
9266906,PAPUA,31817
9266877,SEA VINE,106021
9266865,SEA HOLLY,106070
9266841,SEA BEECH,106138
9264192,GAZ REDSEA,7930
9263954,ASPHALT SAILOR,9240
9263942,ASPHALT SEMINOLE,8999
9261657,SHANDONG ZIHE,40059
9261542,SICILIA,7319
9261516,GIOVANNI DP,16882
9261401,BALTIC WIND,37296
9261114,STENHEIM,16614
9261102,STEN IDUN,16613
9261085,HELVETIA,12792
9261035,PALAU,31837
9261023,BINNUR C,31829
9261011,DEM FIVE,31842
9260859,PRINCESS FAYZAH,28379
9260847,SCOT LEIPZIG,8230
9260835,SCOT BREMEN,8211
9260536,BURAK BAYRAKTAR,11656
9260469,ALBERT MAERSK,109735
9260378,ABB LYDIA,12840
9260275,SW MONACO I,40246
9260263,SW JULIA I,40246
9260158,PRINCE AMIN,34656
9260146,PLATAMON,34682
9261554,CATANIA,7150
9261750,MARSDEN POINT,35107
9263928,TRANS ADRIATIC,12503
9261762,CHEM GUARD,34552
9263916,KIBAZ,47094
9263655,ATHARA,4700
9263382,FURE FLADEN,18736
9263370,CIUDAD DE IBIZA,7209
9263306,BLUEBILL,37332
9263253,ANITA,48104
9263203,HAFNIA ADAMELLO,40002
9263174,MOUNT MCKINNEY,39812
9262936,CPT GEORGIOS S,74181
9262900,MINERVA LYDIA,47999
9262704,MSC AQUARIUS,81171
9262546,CALEDONIA,35079
9262194,THEO T.,73021
9262089,BEGONIA SEAWAYS,14424
9261970,TAMARACK,50344
9261918,CMA CGM FORT ST.GEORGES,30450
9261906,CMA CGM FORT STE MARIE,30804
9261891,CMA CGM FORT ST PIERRE,30804
9261889,CMA CGM FORT ST LOUIS,30804
9267687,PROGRESS ACE,19512
9267716,BALTICBORG,8600
9260079,PIONEER,40055
9273351,ETERNAL SUNSHINE,45915
9274317,STOLT VIRTUE,25230
9273923,CAP CARMEL,33890
9273894,VIRGO LEADER,20111
9273832,SCARLET IBIS,46719
9273791,DONALD,12767
9273727,BIRKA STOCKHOLM,4020
9273650,BRUNO,46101
9273557,JASMINE KNUTSEN,148644
9273442,SAUGER,72652
9273260,TORM SARA,72718
9267728,BOTHNIABORG,8600
9273210,BONANZA,73613
9273088,OKYROE,74999
9273064,HEATHER KNUTSEN,148644
9273014,STELLAR TOLEDO,16765
9272955,PANTAZIS L,76629
9272931,SW TROPEZ I,46992
